Trigger.started,Trigger.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,Session,Subject,date,expName,psychopyVersion,OS,frameRate,complex_block.started,complex_block.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,complex_block_loop.thisRepN,complex_block_loop.thisTrialN,complex_block_loop.thisN,complex_block_loop.thisIndex,complex_block_loop.ran,trial,finger,markerPos,correctResp,new_block_loop.thisRepN,new_block_loop.thisTrialN,new_block_loop.thisN,new_block_loop.thisIndex,new_block_loop.ran,endBuffer.started,endBuffer.stopped
,,,,,,,,,,1,,2023-09-27_15h43.44.329,Motor_Task,2023.2.2,MacIntel,109.1703057,44.699,45.223,2,1,0.522,,4,7,47,7,1,8,M,,2,,,,,,,
,,,,,,,,,,1,,2023-09-27_15h43.44.329,Motor_Task,2023.2.2,MacIntel,109.1703057,45.224,45.79,4,1,0.563,,4,8,48,8,1,9,L,,4,,,,,,,
,,,,,,,,,,1,,2023-09-27_15h43.44.329,Motor_Task,2023.2.2,MacIntel,109.1703057,45.79,46.273,1,1,0.478,,4,9,49,9,1,10,I,,1,,,,,,,
,,,,,,,,,,1,,2023-09-27_15h43.44.329,Motor_Task,2023.2.2,MacIntel,109.1703057,46.274,46.773,2,1,0.496,,5,0,50,0,1,1,M,,2,,,,,,,
,,,,,,,,,,1,,2023-09-27_15h43.44.329,Motor_Task,2023.2.2,MacIntel,109.1703057,46.774,47.273,3,1,0.496,,5,1,51,1,1,2,R,,3,,,,,,,
,,,,,,,,,,1,,2023-09-27_15h43.44.329,Motor_Task,2023.2.2,MacIntel,109.1703057,47.274,47.807,2,1,0.528,,5,2,52,2,1,3,M,,2,,,,,,,
,,,,,,,,,,1,,2023-09-27_15h43.44.329,Motor_Task,2023.2.2,MacIntel,109.1703057,47.807,48.273,3,1,0.465,,5,3,53,3,1,4,R,,3,,,,,,,
,,,,,,,,,,1,,2023-09-27_15h43.44.329,Motor_Task,2023.2.2,MacIntel,109.1703057,48.274,48.757,1,1,0.482,,5,4,54,4,1,5,I,,1,,,,,,,
,,,,,,,,,,1,,2023-09-27_15h43.44.329,Motor_Task,2023.2.2,MacIntel,109.1703057,48.758,49.298,1,1,0.538,,5,5,55,5,1,6,I,,1,,,,,,,
,,,,,,,,,,1,,2023-09-27_15h43.44.329,Motor_Task,2023.2.2,MacIntel,109.1703057,49.298,49.839,3,1,0.541,,5,6,56,6,1,7,R,,3,,,,,,,
,,,,,,,,,,1,,2023-09-27_15h43.44.329,Motor_Task,2023.2.2,MacIntel,109.1703057,49.84,50.44,2,1,0.598,,5,7,57,7,1,8,M,,2,,,,,,,
,,,,,,,,,,1,,2023-09-27_15h43.44.329,Motor_Task,2023.2.2,MacIntel,109.1703057,50.44,51.015,4,1,0.571,,5,8,58,8,1,9,L,,4,,,,,,,
,,,,,,,,,,1,,2023-09-27_15h43.44.329,Motor_Task,2023.2.2,MacIntel,109.1703057,51.015,51.565,1,1,0.545,,5,9,59,9,1,10,I,,1,,,,,,,
,,,,,,,,,,1,,2023-09-27_15h43.44.329,Motor_Task,2023.2.2,MacIntel,109.1703057,51.565,52.074,2,1,0.503,,6,0,60,0,1,1,M,,2,,,,,,,
,,,,,,,,,,1,,2023-09-27_15h43.44.329,Motor_Task,2023.2.2,MacIntel,109.1703057,52.074,52.59,3,1,0.515,,6,1,61,1,1,2,R,,3,,,,,,,
,,,,,,,,,,1,,2023-09-27_15h43.44.329,Motor_Task,2023.2.2,MacIntel,109.1703057,52.59,53.173,2,1,0.58,,6,2,62,2,1,3,M,,2,,,,,,,
,,,,,,,,,,1,,2023-09-27_15h43.44.329,Motor_Task,2023.2.2,MacIntel,109.1703057,53.174,53.781,3,1,0.605,,6,3,63,3,1,4,R,,3,,,,,,,
