Trigger.started,Trigger.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,Session,Subject,date,expName,psychopyVersion,OS,frameRate,complex_block.started,complex_block.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,complex_block_loop.thisRepN,complex_block_loop.thisTrialN,complex_block_loop.thisN,complex_block_loop.thisIndex,complex_block_loop.ran,trial,finger,markerPos,correctResp,new_block_loop.thisRepN,new_block_loop.thisTrialN,new_block_loop.thisN,new_block_loop.thisIndex,new_block_loop.ran,endBuffer.started,endBuffer.stopped
0.0002,32.9158,N/A,32.8897,,-0.157825521,-0.332855903,0,0,0,1,,2023-09-27_15h43.03.479,Motor_Task,2023.2.2,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1,,2023-09-27_15h43.03.479,Motor_Task,2023.2.2,MacIntel,60.0024001,32.9449,34.815,2,1,1.8621,,0,0,0,0,1,1,M,,2,,,,,,,
,,,,,,,,,,1,,2023-09-27_15h43.03.479,Motor_Task,2023.2.2,MacIntel,60.0024001,34.8163,35.4458,3,1,0.6264,,0,1,1,1,1,2,R,,3,,,,,,,
,,,,,,,,,,1,,2023-09-27_15h43.03.479,Motor_Task,2023.2.2,MacIntel,60.0024001,35.4468,36.5324,2,1,1.0793,,0,2,2,2,1,3,M,,2,,,,,,,
,,,,,,,,,,1,,2023-09-27_15h43.03.479,Motor_Task,2023.2.2,MacIntel,60.0024001,36.533,37.2323,3,1,0.6869,,0,3,3,3,1,4,R,,3,,,,,,,
,,,,,,,,,,1,,2023-09-27_15h43.03.479,Motor_Task,2023.2.2,MacIntel,60.0024001,37.2329,37.9787,1,1,0.7361,,0,4,4,4,1,5,I,,1,,,,,,,
,,,,,,,,,,1,,2023-09-27_15h43.03.479,Motor_Task,2023.2.2,MacIntel,60.0024001,37.9793,38.6324,1,1,0.639,,0,5,5,5,1,6,I,,1,,,,,,,
,,,,,,,,,,1,,2023-09-27_15h43.03.479,Motor_Task,2023.2.2,MacIntel,60.0024001,38.6333,39.298,3,1,0.6638,,0,6,6,6,1,7,R,,3,,,,,,,
,,,,,,,,,,1,,2023-09-27_15h43.03.479,Motor_Task,2023.2.2,MacIntel,60.0024001,39.2985,39.8147,2,1,0.5048,,0,7,7,7,1,8,M,,2,,,,,,,
,,,,,,,,,,1,,2023-09-27_15h43.03.479,Motor_Task,2023.2.2,MacIntel,60.0024001,39.8151,40.5149,4,1,0.6973,,0,8,8,8,1,9,L,,4,,,,,,,
,,,,,,,,,,1,,2023-09-27_15h43.03.479,Motor_Task,2023.2.2,MacIntel,60.0024001,40.5153,41.1298,1,1,0.6105,,0,9,9,9,1,10,I,,1,,,,,,,
,,,,,,,,,,1,,2023-09-27_15h43.03.479,Motor_Task,2023.2.2,MacIntel,60.0024001,41.1301,41.6988,2,1,0.559,,1,0,10,0,1,1,M,,2,,,,,,,
,,,,,,,,,,1,,2023-09-27_15h43.03.479,Motor_Task,2023.2.2,MacIntel,60.0024001,41.6991,42.2294,3,1,0.5222,,1,1,11,1,1,2,R,,3,,,,,,,
,,,,,,,,,,1,,2023-09-27_15h43.03.479,Motor_Task,2023.2.2,MacIntel,60.0024001,42.2298,42.8002,2,1,0.5629,,1,2,12,2,1,3,M,,2,,,,,,,
,,,,,,,,,,1,,2023-09-27_15h43.03.479,Motor_Task,2023.2.2,MacIntel,60.0024001,42.801,43.3823,3,1,0.575,,1,3,13,3,1,4,R,,3,,,,,,,
,,,,,,,,,,1,,2023-09-27_15h43.03.479,Motor_Task,2023.2.2,MacIntel,60.0024001,43.3827,43.9814,1,1,0.59,,1,4,14,4,1,5,I,,1,,,,,,,
