Trigger.started,Trigger.stopped,key_resp_4.keys,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,Session,Subject,date,expName,psychopyVersion,OS,frameRate,complex_block.started,complex_block.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,complex_block_loop.thisRepN,complex_block_loop.thisTrialN,complex_block_loop.thisN,complex_block_loop.thisIndex,complex_block_loop.ran,trial,finger,markerPos,correctResp,new_block_loop.thisRepN,new_block_loop.thisTrialN,new_block_loop.thisN,new_block_loop.thisIndex,new_block_loop.ran,endBuffer.started,endBuffer.stopped
,,,,,,,,1,hc,2023-09-27_15h43.37.771,Motor_Task,2023.2.2,MacIntel,58.82352941,59.925,60.336,3,1,0.397,,10,1,101,1,1,2,R,,3,,,,,,,
,,,,,,,,1,hc,2023-09-27_15h43.37.771,Motor_Task,2023.2.2,MacIntel,58.82352941,60.336,60.786,2,1,0.446,,10,2,102,2,1,3,M,,2,,,,,,,
,,,,,,,,1,hc,2023-09-27_15h43.37.771,Motor_Task,2023.2.2,MacIntel,58.82352941,60.786,61.173,3,1,0.374,,10,3,103,3,1,4,R,,3,,,,,,,
,,,,,,,,1,hc,2023-09-27_15h43.37.771,Motor_Task,2023.2.2,MacIntel,58.82352941,61.174,61.564,1,1,0.381,,10,4,104,4,1,5,I,,1,,,,,,,
,,,,,,,,1,hc,2023-09-27_15h43.37.771,Motor_Task,2023.2.2,MacIntel,58.82352941,61.565,61.96,1,1,0.387,,10,5,105,5,1,6,I,,1,,,,,,,
,,,,,,,,1,hc,2023-09-27_15h43.37.771,Motor_Task,2023.2.2,MacIntel,58.82352941,61.961,62.58,3,1,0.608,,10,6,106,6,1,7,R,,3,,,,,,,
,,,,,,,,1,hc,2023-09-27_15h43.37.771,Motor_Task,2023.2.2,MacIntel,58.82352941,62.581,63.032,2,1,0.439,,10,7,107,7,1,8,M,,2,,,,,,,
,,,,,,,,1,hc,2023-09-27_15h43.37.771,Motor_Task,2023.2.2,MacIntel,58.82352941,63.032,63.609,4,1,0.571,,10,8,108,8,1,9,L,,4,,,,,,,
,,,,,,,,1,hc,2023-09-27_15h43.37.771,Motor_Task,2023.2.2,MacIntel,58.82352941,63.61,64.118,1,1,0.501,,10,9,109,9,1,10,I,,1,,,,,,,
,,,,,,,,1,hc,2023-09-27_15h43.37.771,Motor_Task,2023.2.2,MacIntel,58.82352941,64.119,64.739,2,1,0.614,,11,0,110,0,1,1,M,,2,,,,,,,
,,,,,,,,1,hc,2023-09-27_15h43.37.771,Motor_Task,2023.2.2,MacIntel,58.82352941,64.739,65.142,3,1,0.397,,11,1,111,1,1,2,R,,3,,,,,,,
,,,,,,,,1,hc,2023-09-27_15h43.37.771,Motor_Task,2023.2.2,MacIntel,58.82352941,65.143,65.726,2,1,0.57,,11,2,112,2,1,3,M,,2,,,,,,,
,,,,,,,,1,hc,2023-09-27_15h43.37.771,Motor_Task,2023.2.2,MacIntel,58.82352941,65.726,66.163,3,1,0.426,,11,3,113,3,1,4,R,,3,,,,,,,
,,,,,,,,1,hc,2023-09-27_15h43.37.771,Motor_Task,2023.2.2,MacIntel,58.82352941,66.164,66.543,1,1,0.371,,11,4,114,4,1,5,I,,1,,,,,,,
,,,,,,,,1,hc,2023-09-27_15h43.37.771,Motor_Task,2023.2.2,MacIntel,58.82352941,66.544,66.967,1,1,0.414,,11,5,115,5,1,6,I,,1,,,,,,,
,,,,,,,,1,hc,2023-09-27_15h43.37.771,Motor_Task,2023.2.2,MacIntel,58.82352941,66.967,67.552,3,1,0.572,,11,6,116,6,1,7,R,,3,,,,,,,
,,,,,,,,1,hc,2023-09-27_15h43.37.771,Motor_Task,2023.2.2,MacIntel,58.82352941,67.553,67.973,2,1,0.416,,11,7,117,7,1,8,M,,2,,,,,,,
,,,,,,,,1,hc,2023-09-27_15h43.37.771,Motor_Task,2023.2.2,MacIntel,58.82352941,67.973,68.432,4,1,0.447,,11,8,118,8,1,9,L,,4,,,,,,,
