Trigger.started,Trigger.stopped,key_resp_4.keys,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,Session,Subject,date,expName,psychopyVersion,OS,frameRate,complex_block.started,complex_block.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,complex_block_loop.thisRepN,complex_block_loop.thisTrialN,complex_block_loop.thisN,complex_block_loop.thisIndex,complex_block_loop.ran,trial,finger,markerPos,correctResp
,,,,,,,,1,NEPR 464,2023-09-27_15h43.02.941,Motor_Task,2023.2.2,MacIntel,60.0024001,61.7415,62.2083,2,1,0.465,,11,2,112,2,1,3,M,,2
,,,,,,,,1,NEPR 464,2023-09-27_15h43.02.941,Motor_Task,2023.2.2,MacIntel,60.0024001,62.2086,62.6918,3,1,0.4717,,11,3,113,3,1,4,R,,3
,,,,,,,,1,NEPR 464,2023-09-27_15h43.02.941,Motor_Task,2023.2.2,MacIntel,60.0024001,62.6923,63.2914,1,1,0.5891,,11,4,114,4,1,5,I,,1
,,,,,,,,1,NEPR 464,2023-09-27_15h43.02.941,Motor_Task,2023.2.2,MacIntel,60.0024001,63.2917,63.9584,1,1,0.6551,,11,5,115,5,1,6,I,,1
,,,,,,,,1,NEPR 464,2023-09-27_15h43.02.941,Motor_Task,2023.2.2,MacIntel,60.0024001,63.9589,64.3246,1,0,0.3538,,11,6,116,6,1,7,R,,3
,,,,,,,,1,NEPR 464,2023-09-27_15h43.02.941,Motor_Task,2023.2.2,MacIntel,60.0024001,64.3251,64.8271,2,1,0.4896,,11,7,117,7,1,8,M,,2
,,,,,,,,1,NEPR 464,2023-09-27_15h43.02.941,Motor_Task,2023.2.2,MacIntel,60.0024001,64.8275,65.259,3,0,0.4196,,11,8,118,8,1,9,L,,4
,,,,,,,,1,NEPR 464,2023-09-27_15h43.02.941,Motor_Task,2023.2.2,MacIntel,60.0024001,65.2595,65.7927,1,1,0.5191,,11,9,119,9,1,10,I,,1
,,,,,,,,1,NEPR 464,2023-09-27_15h43.02.941,Motor_Task,2023.2.2,MacIntel,60.0024001,65.7931,66.408,2,1,0.6072,,12,0,120,0,1,1,M,,2
,,,,,,,,1,NEPR 464,2023-09-27_15h43.02.941,Motor_Task,2023.2.2,MacIntel,60.0024001,66.4083,66.8738,4,0,0.4574,,12,1,121,1,1,2,R,,3
,,,,,,,,1,NEPR 464,2023-09-27_15h43.02.941,Motor_Task,2023.2.2,MacIntel,60.0024001,66.8741,67.5063,3,0,0.6246,,12,2,122,2,1,3,M,,2
,,,,,,,,1,NEPR 464,2023-09-27_15h43.02.941,Motor_Task,2023.2.2,MacIntel,60.0024001,67.5067,68.1747,3,1,0.6581,,12,3,123,3,1,4,R,,3
