Trigger.started,Trigger.stopped,key_resp_4.keys,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,Session,Subject,date,expName,psychopyVersion,OS,frameRate,complex_block.started,complex_block.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,complex_block_loop.thisRepN,complex_block_loop.thisTrialN,complex_block_loop.thisN,complex_block_loop.thisIndex,complex_block_loop.ran,trial,finger,markerPos,correctResp,new_block_loop.thisRepN,new_block_loop.thisTrialN,new_block_loop.thisN,new_block_loop.thisIndex,new_block_loop.ran,endBuffer.started,endBuffer.stopped
0.0004,20.4057,,-0.129346653,-0.246642795,1,0,0,1,,2023-09-27_15h43.32.617,Motor_Task,2023.2.2,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1,,2023-09-27_15h43.32.617,Motor_Task,2023.2.2,MacIntel,60.0024001,20.4317,21.4573,2,1,1.0166,,0,0,0,0,1,1,M,,2,,,,,,,
,,,,,,,,1,,2023-09-27_15h43.32.617,Motor_Task,2023.2.2,MacIntel,60.0024001,21.4581,22.0725,3,1,0.6052,,0,1,1,1,1,2,R,,3,,,,,,,
,,,,,,,,1,,2023-09-27_15h43.32.617,Motor_Task,2023.2.2,MacIntel,60.0024001,22.073,22.5735,2,1,0.4978,,0,2,2,2,1,3,M,,2,,,,,,,
,,,,,,,,1,,2023-09-27_15h43.32.617,Motor_Task,2023.2.2,MacIntel,60.0024001,22.574,23.0719,3,1,0.4885,,0,3,3,3,1,4,R,,3,,,,,,,
,,,,,,,,1,,2023-09-27_15h43.32.617,Motor_Task,2023.2.2,MacIntel,60.0024001,23.0737,23.6378,1,1,0.5586,,0,4,4,4,1,5,I,,1,,,,,,,
,,,,,,,,1,,2023-09-27_15h43.32.617,Motor_Task,2023.2.2,MacIntel,60.0024001,23.6381,24.1547,1,1,0.5095,,0,5,5,5,1,6,I,,1,,,,,,,
,,,,,,,,1,,2023-09-27_15h43.32.617,Motor_Task,2023.2.2,MacIntel,60.0024001,24.1551,24.7054,3,1,0.54,,0,6,6,6,1,7,R,,3,,,,,,,
,,,,,,,,1,,2023-09-27_15h43.32.617,Motor_Task,2023.2.2,MacIntel,60.0024001,24.7056,25.2571,2,1,0.5461,,0,7,7,7,1,8,M,,2,,,,,,,
,,,,,,,,1,,2023-09-27_15h43.32.617,Motor_Task,2023.2.2,MacIntel,60.0024001,25.2573,25.771,4,1,0.5111,,0,8,8,8,1,9,L,,4,,,,,,,
