Trigger.started,Trigger.stopped,key_resp_4.keys,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,Session,Subject,date,expName,psychopyVersion,OS,frameRate,complex_block.started,complex_block.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,complex_block_loop.thisRepN,complex_block_loop.thisTrialN,complex_block_loop.thisN,complex_block_loop.thisIndex,complex_block_loop.ran,trial,finger,markerPos,correctResp,new_block_loop.thisRepN,new_block_loop.thisTrialN,new_block_loop.thisN,new_block_loop.thisIndex,new_block_loop.ran,endBuffer.started,endBuffer.stopped
,,,,,,,,1,,2023-09-27_15h43.42.742,Motor_Task,2023.2.2,MacIntel,60.09615385,97.173,97.787,4,1,0.606,,12,8,128,8,1,9,L,,4,,,,,,,
,,,,,,,,1,,2023-09-27_15h43.42.742,Motor_Task,2023.2.2,MacIntel,60.09615385,97.788,98.254,1,1,0.454,,12,9,129,9,1,10,I,,1,,,,,,,
,,,,,,,,1,,2023-09-27_15h43.42.742,Motor_Task,2023.2.2,MacIntel,60.09615385,98.256,98.755,2,1,0.488,,13,0,130,0,1,1,M,,2,,,,,,,
,,,,,,,,1,,2023-09-27_15h43.42.742,Motor_Task,2023.2.2,MacIntel,60.09615385,98.755,99.209,3,1,0.442,,13,1,131,1,1,2,R,,3,,,,,,,
,,,,,,,,1,,2023-09-27_15h43.42.742,Motor_Task,2023.2.2,MacIntel,60.09615385,99.211,99.671,2,1,0.45,,13,2,132,2,1,3,M,,2,,,,,,,
,,,,,,,,1,,2023-09-27_15h43.42.742,Motor_Task,2023.2.2,MacIntel,60.09615385,99.672,100.188,3,1,0.508,,13,3,133,3,1,4,R,,3,,,,,,,
,,,,,,,,1,,2023-09-27_15h43.42.742,Motor_Task,2023.2.2,MacIntel,60.09615385,100.188,100.704,1,1,0.508,,13,4,134,4,1,5,I,,1,,,,,,,
,,,,,,,,1,,2023-09-27_15h43.42.742,Motor_Task,2023.2.2,MacIntel,60.09615385,100.705,101.288,1,1,0.572,,13,5,135,5,1,6,I,,1,,,,,,,
,,,,,,,,1,,2023-09-27_15h43.42.742,Motor_Task,2023.2.2,MacIntel,60.09615385,101.289,101.821,4,0,0.521,,13,6,136,6,1,7,R,,3,,,,,,,
,,,,,,,,1,,2023-09-27_15h43.42.742,Motor_Task,2023.2.2,MacIntel,60.09615385,101.822,102.671,2,1,0.837,,13,7,137,7,1,8,M,,2,,,,,,,
,,,,,,,,1,,2023-09-27_15h43.42.742,Motor_Task,2023.2.2,MacIntel,60.09615385,102.671,103.371,4,1,0.688,,13,8,138,8,1,9,L,,4,,,,,,,
,,,,,,,,1,,2023-09-27_15h43.42.742,Motor_Task,2023.2.2,MacIntel,60.09615385,103.373,103.904,1,1,0.522,,13,9,139,9,1,10,I,,1,,,,,,,
,,,,,,,,1,,2023-09-27_15h43.42.742,Motor_Task,2023.2.2,MacIntel,60.09615385,103.905,104.455,2,1,0.539,,14,0,140,0,1,1,M,,2,,,,,,,
,,,,,,,,1,,2023-09-27_15h43.42.742,Motor_Task,2023.2.2,MacIntel,60.09615385,104.456,104.971,3,1,0.504,,14,1,141,1,1,2,R,,3,,,,,,,
,,,,,,,,1,,2023-09-27_15h43.42.742,Motor_Task,2023.2.2,MacIntel,60.09615385,104.972,105.57,2,1,0.595,,14,2,142,2,1,3,M,,2,,,,,,,
,,,,,,,,1,,2023-09-27_15h43.42.742,Motor_Task,2023.2.2,MacIntel,60.09615385,105.571,106.072,3,1,0.49,,14,3,143,3,1,4,R,,3,,,,,,,
,,,,,,,,1,,2023-09-27_15h43.42.742,Motor_Task,2023.2.2,MacIntel,60.09615385,106.073,106.587,1,1,0.505,,14,4,144,4,1,5,I,,1,,,,,,,
,,,,,,,,1,,2023-09-27_15h43.42.742,Motor_Task,2023.2.2,MacIntel,60.09615385,106.588,107.155,1,1,0.554,,14,5,145,5,1,6,I,,1,,,,,,,
,,,,,,,,1,,2023-09-27_15h43.42.742,Motor_Task,2023.2.2,MacIntel,60.09615385,107.155,107.654,3,1,0.486,,14,6,146,6,1,7,R,,3,,,,,,,
,,,,,,,,1,,2023-09-27_15h43.42.742,Motor_Task,2023.2.2,MacIntel,60.09615385,107.656,108.271,2,1,0.603,,14,7,147,7,1,8,M,,2,,,,,,,
,,,,,,,,1,,2023-09-27_15h43.42.742,Motor_Task,2023.2.2,MacIntel,60.09615385,108.272,108.921,4,1,0.636,,14,8,148,8,1,9,L,,4,,,,,,,
,,,,,,,,1,,2023-09-27_15h43.42.742,Motor_Task,2023.2.2,MacIntel,60.09615385,108.921,109.522,1,1,0.589,,14,9,149,9,1,10,I,,1,,,,,,,
,,,,,,,,1,,2023-09-27_15h43.42.742,Motor_Task,2023.2.2,MacIntel,60.09615385,109.522,109.987,2,1,0.461,,15,0,150,0,1,1,M,,2,,,,,,,
,,,,,,,,1,,2023-09-27_15h43.42.742,Motor_Task,2023.2.2,MacIntel,60.09615385,109.989,110.521,3,1,0.521,,15,1,151,1,1,2,R,,3,,,,,,,
,,,,,,,,1,,2023-09-27_15h43.42.742,Motor_Task,2023.2.2,MacIntel,60.09615385,110.522,111.121,2,1,0.589,,15,2,152,2,1,3,M,,2,,,,,,,
,,,,,,,,1,,2023-09-27_15h43.42.742,Motor_Task,2023.2.2,MacIntel,60.09615385,111.121,111.738,3,1,0.605,,15,3,153,3,1,4,R,,3,,,,,,,
,,,,,,,,1,,2023-09-27_15h43.42.742,Motor_Task,2023.2.2,MacIntel,60.09615385,111.74,112.255,1,1,0.511,,15,4,154,4,1,5,I,,1,,,,,,,
,,,,,,,,1,,2023-09-27_15h43.42.742,Motor_Task,2023.2.2,MacIntel,60.09615385,112.255,112.821,1,1,0.555,,15,5,155,5,1,6,I,,1,,,,,,,
,,,,,,,,1,,2023-09-27_15h43.42.742,Motor_Task,2023.2.2,MacIntel,60.09615385,112.822,113.321,3,1,0.493,,15,6,156,6,1,7,R,,3,,,,,,,
,,,,,,,,1,,2023-09-27_15h43.42.742,Motor_Task,2023.2.2,MacIntel,60.09615385,113.322,113.905,2,1,0.571,,15,7,157,7,1,8,M,,2,,,,,,,
,,,,,,,,1,,2023-09-27_15h43.42.742,Motor_Task,2023.2.2,MacIntel,60.09615385,113.905,114.622,4,1,0.711,,15,8,158,8,1,9,L,,4,,,,,,,
,,,,,,,,1,,2023-09-27_15h43.42.742,Motor_Task,2023.2.2,MacIntel,60.09615385,114.623,115.105,1,1,0.472,,15,9,159,9,1,10,I,,1,,,,,,,
,,,,,,,,1,,2023-09-27_15h43.42.742,Motor_Task,2023.2.2,MacIntel,60.09615385,115.106,115.555,2,1,0.445,,16,0,160,0,1,1,M,,2,,,,,,,
,,,,,,,,1,,2023-09-27_15h43.42.742,Motor_Task,2023.2.2,MacIntel,60.09615385,115.557,116.055,3,1,0.488,,16,1,161,1,1,2,R,,3,,,,,,,
,,,,,,,,1,,2023-09-27_15h43.42.742,Motor_Task,2023.2.2,MacIntel,60.09615385,116.056,116.538,2,1,0.478,,16,2,162,2,1,3,M,,2,,,,,,,
,,,,,,,,1,,2023-09-27_15h43.42.742,Motor_Task,2023.2.2,MacIntel,60.09615385,116.539,117.055,3,1,0.506,,16,3,163,3,1,4,R,,3,,,,,,,
,,,,,,,,1,,2023-09-27_15h43.42.742,Motor_Task,2023.2.2,MacIntel,60.09615385,117.056,117.588,1,1,0.525,,16,4,164,4,1,5,I,,1,,,,,,,
